"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
-1,20,2424,11.9,13.2,21.1,10.5,13.8,113,1784,14.6,10.2,89,26.6,202,10.1
-1,25,1509,14.6,15.9,24.5,14,17.4,155,914,11.4,12.6,81,24.5,325,13
-1,30,1045,17.2,18.4,27.1,17.5,21,195,464,9,15.7,72,22.3,436,14.5
-1,35,742,19.5,20.7,29.2,21.5,24.5,232,303,7.2,17.4,64,20.3,538,15.4
-1,40,576,21.6,22.8,30.8,25.1,27.9,268,166,5.9,21.4,57,18.6,631,15.8
-1,45,479,23.5,24.7,32.2,28.1,31.2,302,97,5,25.6,52,17.1,716,15.9
-1,50,417,25.2,26.5,33.3,30.7,34.5,334,62,4.3,29.6,47,15.8,795,15.9
-1,55,373,26.8,28,34.2,33,37.7,364,44,3.7,32.8,43,14.7,868,15.8
-1,60,340,28.2,29.5,34.9,35.1,40.7,393,33,3.3,35.4,40,13.7,937,15.6
-1,65,313,29.5,30.8,35.5,37.1,43.7,420,27,2.9,37.2,37,12.8,1001,15.4
-1,70,291,30.7,31.9,36,38.9,46.7,447,22,2.6,38.8,34,12.1,1061,15.2
-1,75,272,31.8,33,36.4,40.7,49.5,471,18,2.4,40.6,32,11.4,1118,14.9
-1,80,257,32.8,34,36.7,42.3,52.3,495,15,2.2,42.8,30,10.8,1172,14.7
-1,85,245,33.6,34.8,36.9,43.7,55.1,517,13,2,45.2,29,10.2,1223,14.4
-1,90,234,34.4,35.6,37.1,45,57.7,539,11,1.9,47.5,27,9.7,1272,14.1
0,20,3404,10.1,11.4,18.3,8.5,13.1,96,2163,12.3,8.5,67,21.3,162,8.1
0,25,2196,12.6,13.9,21.8,11.2,16.5,133,1207,10.3,10.4,65,20.4,264,10.6
0,30,1515,14.8,16.1,24.5,14,19.8,167,682,8.4,12.5,60,19,359,12
0,35,1132,16.9,18.2,26.6,16.8,22.9,200,383,7,15.2,55,17.6,447,12.8
0,40,850,18.8,20.1,28.4,20,26,230,282,5.9,16.3,51,16.3,529,13.2
0,45,680,20.5,21.8,29.8,22.9,28.9,259,170,5.1,19.5,47,15.2,605,13.4
0,50,574,22.1,23.4,31,25.5,31.8,287,107,4.4,22.9,43,14.2,675,13.5
0,55,503,23.6,24.8,32.1,27.7,34.6,313,71,3.9,26.3,40,13.3,742,13.5
0,60,451,24.9,26.1,32.9,29.6,37.3,338,51,3.5,29.3,37,12.5,804,13.4
0,65,412,26.1,27.3,33.6,31.4,39.9,361,39,3.1,31.7,35,11.7,863,13.3
0,70,380,27.1,28.4,34.2,33.2,42.4,384,32,2.8,33.6,33,11.1,918,13.1
0,75,354,28.1,29.3,34.7,34.8,44.9,405,26,2.6,35.5,31,10.5,971,12.9
0,80,332,29,30.2,35.1,36.3,47.3,426,22,2.4,37.6,30,10,1021,12.8
0,85,315,29.8,31,35.5,37.6,49.6,445,18,2.2,39.9,28,9.5,1069,12.6
0,90,299,30.5,31.7,35.7,38.8,51.9,464,15,2.1,42,27,9.1,1114,12.4
0,95,286,31.2,32.4,35.9,39.9,54.1,481,13,2,43.8,26,8.7,1158,12.2
0,100,275,31.8,33,36.1,40.9,56.3,498,11,1.9,45.4,25,8.3,1199,12
0,105,265,32.3,33.5,36.2,41.9,58.4,514,10,1.8,47,24,8,1239,11.8
0,110,256,32.8,34,36.2,42.8,60.4,530,9,1.7,48.6,23,7.7,1278,11.6
0,115,248,33.3,34.5,36.3,43.7,62.4,544,8,1.6,49.7,22,7.4,1315,11.4
0,120,240,33.7,34.9,36.2,44.5,64.4,558,8,1.5,50.5,22,7.1,1350,11.3
1,25,3141,10.5,11.8,18.6,8.9,15.3,107,1543,8.8,8.5,49,16.4,156,6.2
1,30,2195,12.5,13.8,21.4,11.2,18.3,137,947,7.7,10.2,49,15.7,234,7.8
1,35,1609,14.4,15.6,23.7,13.6,21.1,165,586,6.6,12,46,14.9,309,8.8
1,40,1245,16.1,17.3,25.6,16,23.8,191,364,5.8,14.2,44,14,379,9.5
1,45,1018,17.6,18.9,27.1,18.1,26.3,216,227,5,16.8,41,13.2,445,9.9
1,50,829,19,20.3,28.4,20.5,28.8,239,188,4.5,17.4,39,12.4,507,10.1
1,55,703,20.3,21.6,29.5,22.7,31.2,261,126,4,20.1,37,11.8,566,10.3
1,60,615,21.5,22.8,30.5,24.7,33.5,282,88,3.6,22.8,35,11.1,622,10.4
1,65,550,22.6,23.8,31.3,26.5,35.8,302,65,3.3,25.4,33,10.6,674,10.4
1,70,500,23.5,24.8,32,28.1,37.9,321,50,3,27.8,31,10.1,725,10.4
1,75,461,24.4,25.7,32.6,29.6,40,340,39,2.8,30.1,30,9.6,773,10.3
1,80,430,25.2,26.5,33.1,31,42.1,357,31,2.6,32.4,28,9.2,818,10.2
1,85,405,26,27.2,33.5,32.3,44,374,25,2.4,34.8,27,8.8,862,10.1
1,90,383,26.6,27.9,33.9,33.4,45.9,389,21,2.3,36.9,26,8.4,904,10
1,95,365,27.2,28.5,34.2,34.4,47.8,405,18,2.1,38.7,25,8.1,945,9.9
1,100,349,27.8,29,34.5,35.4,49.6,419,16,2,40.4,24,7.8,983,9.8
1,105,335,28.3,29.5,34.7,36.3,51.3,433,14,1.9,42,23,7.5,1021,9.7
1,110,323,28.7,29.9,34.8,37.2,53,446,12,1.9,43.6,23,7.2,1057,9.6
1,115,312,29.1,30.3,35,38,54.7,459,11,1.8,44.7,22,7,1092,9.5
1,120,301,29.5,30.7,35,38.8,56.3,471,10,1.7,45.6,21,6.7,1125,9.4
2,30,3310,10.2,11.5,17.9,8.7,16.4,105,1259,6.4,8.1,35,12.4,140,4.7
2,35,2471,11.8,13.1,20.2,10.6,18.9,129,839,6,9.5,36,12.1,200,5.7
2,40,1904,13.3,14.6,22.2,12.4,21.2,151,566,5.4,11,36,11.6,258,6.5
2,45,1520,14.7,16,23.8,14.3,23.4,172,385,4.9,12.7,35,11.1,314,7
2,50,1257,15.9,17.2,25.2,16.1,25.5,192,263,4.4,14.6,33,10.6,367,7.3
2,55,1075,17.1,18.4,26.5,17.8,27.6,210,181,4,16.8,32,10.1,418,7.6
2,60,914,18.1,19.4,27.5,19.6,29.5,228,161,3.7,17,31,9.7,466,7.8
2,65,795,19.1,20.4,28.4,21.4,31.4,244,119,3.4,19.1,30,9.3,513,7.9
2,70,705,20,21.2,29.2,23,33.2,260,90,3.1,21.1,28,8.9,557,8
2,75,636,20.8,22,29.9,24.5,35,275,69,2.9,23.2,27,8.5,600,8
2,80,582,21.5,22.7,30.6,25.9,36.7,290,54,2.7,25.5,26,8.2,640,8
2,85,540,22.1,23.4,31.1,27.2,38.3,304,42,2.6,27.9,25,7.9,680,8
2,90,506,22.7,24,31.6,28.3,39.9,317,34,2.4,30.2,25,7.6,718,8
2,95,477,23.3,24.5,32,29.3,41.4,330,28,2.3,32.3,24,7.3,754,7.9
2,100,453,23.8,25,32.3,30.3,42.8,342,24,2.2,34.2,23,7.1,790,7.9
2,105,432,24.2,25.4,32.6,31.2,44.3,354,21,2.1,36,22,6.8,824,7.8
2,110,414,24.6,25.8,32.9,32,45.7,365,18,2,37.7,22,6.6,857,7.8
2,115,398,25,26.2,33.1,32.8,47,376,16,1.9,39.1,21,6.4,889,7.7
2,120,383,25.3,26.5,33.3,33.5,48.3,386,15,1.9,40.2,21,6.2,920,7.7
3,40,3023,10.6,11.9,18.1,9.5,18.3,112,820,4.7,8.5,26,9.1,138,3.4
3,45,2428,11.8,13.1,19.8,10.9,20.2,129,596,4.4,9.8,27,8.9,182,4.1
3,50,1991,12.9,14.2,21.3,12.4,21.9,145,437,4.2,11,27,8.6,225,4.5
3,55,1668,13.9,15.1,22.7,13.8,23.6,161,323,3.9,12.4,27,8.4,267,4.9
3,60,1428,14.8,16.1,23.8,15.2,25.2,175,240,3.6,13.9,26,8.1,308,5.1
3,65,1247,15.6,16.9,24.8,16.5,26.8,189,181,3.4,15.5,25,7.8,347,5.3
3,70,1110,16.4,17.7,25.7,17.8,28.3,202,137,3.2,17.2,25,7.5,384,5.5
3,75,1005,17.1,18.4,26.5,18.9,29.7,214,105,3,19.1,24,7.3,421,5.6
3,80,902,17.7,19,27.3,20.2,31,226,104,2.8,18.7,23,7,456,5.7
3,85,819,18.3,19.6,27.9,21.4,32.4,237,82,2.7,20.5,23,6.8,490,5.8
3,90,753,18.8,20.1,28.5,22.5,33.6,248,66,2.6,22.2,22,6.6,523,5.8
3,95,699,19.3,20.6,29,23.6,34.8,258,54,2.5,24,22,6.4,555,5.8
3,100,653,19.7,21,29.4,24.5,36,268,45,2.4,25.7,21,6.2,586,5.9
3,105,615,20.1,21.4,29.9,25.4,37.2,277,38,2.3,27.4,21,6,616,5.9
3,110,582,20.5,21.7,30.2,26.2,38.3,287,33,2.2,29.1,20,5.9,645,5.9
3,115,554,20.8,22.1,30.6,27,39.3,295,28,2.1,30.6,20,5.7,674,5.9
3,120,529,21.1,22.4,30.8,27.8,40.4,304,25,2,31.9,19,5.5,701,5.8
